Nazwa Kierunku,Link
informatyka.,https://programy.p.lodz.pl/ectslabel-web/kierunekSiatkaV4.jsp?l=pl&w=informatyka.&pkId=1673&p=7633&stopien=studia%20drugiego%20stopnia&tryb=studia%20niestacjonarne&v=4&sp=1
informatyka.,https://programy.p.lodz.pl/ectslabel-web/kierunekSiatkaV4.jsp?l=pl&w=informatyka.&pkId=1673&p=7633&stopien=studia%20drugiego%20stopnia&tryb=studia%20niestacjonarne&v=4&sp=2
informatyka.,https://programy.p.lodz.pl/ectslabel-web/kierunekSiatkaV4.jsp?l=pl&w=informatyka.&pkId=1673&p=7633&stopien=studia%20drugiego%20stopnia&tryb=studia%20niestacjonarne&v=4&sp=3
informatyka.,https://programy.p.lodz.pl/ectslabel-web/kierunekSiatkaV4.jsp?l=pl&w=informatyka.&pkId=1673&p=7633&stopien=studia%20drugiego%20stopnia&tryb=studia%20niestacjonarne&v=4&sp=4
informatyka.,https://programy.p.lodz.pl/ectslabel-web/kierunekSiatkaV4.jsp?l=pl&w=informatyka.&pkId=1673&p=7633&stopien=studia%20drugiego%20stopnia&tryb=studia%20niestacjonarne&v=4&sp=5
informatyka.,https://programy.p.lodz.pl/ectslabel-web/kierunekSiatkaV4.jsp?l=pl&w=informatyka.&pkId=1673&p=7885&stopien=studia%20drugiego%20stopnia&tryb=studia%20niestacjonarne&v=4&sp=0
informatyka.,https://programy.p.lodz.pl/ectslabel-web/kierunekSiatkaV4.jsp?l=pl&w=informatyka.&pkId=1673&p=7885&stopien=studia%20drugiego%20stopnia&tryb=studia%20niestacjonarne&v=4&sp=1
informatyka.,https://programy.p.lodz.pl/ectslabel-web/kierunekSiatkaV4.jsp?l=pl&w=informatyka.&pkId=1673&p=7885&stopien=studia%20drugiego%20stopnia&tryb=studia%20niestacjonarne&v=4&sp=2
informatyka.,https://programy.p.lodz.pl/ectslabel-web/kierunekSiatkaV4.jsp?l=pl&w=informatyka.&pkId=1673&p=7885&stopien=studia%20drugiego%20stopnia&tryb=studia%20niestacjonarne&v=4&sp=3
informatyka.,https://programy.p.lodz.pl/ectslabel-web/kierunekSiatkaV4.jsp?l=pl&w=informatyka.&pkId=1673&p=7885&stopien=studia%20drugiego%20stopnia&tryb=studia%20niestacjonarne&v=4&sp=4
inżynieria biomedyczna,https://programy.p.lodz.pl/ectslabel-web/kierunekSiatkaV4.jsp?l=pl&w=inżynieria%20biomedyczna&pkId=1676&p=6898&stopien=studia%20pierwszego%20stopnia&tryb=studia%20stacjonarne&v=4&sp=0
inżynieria biomedyczna,https://programy.p.lodz.pl/ectslabel-web/kierunekSiatkaV4.jsp?l=pl&w=inżynieria%20biomedyczna&pkId=1676&p=6898&stopien=studia%20pierwszego%20stopnia&tryb=studia%20stacjonarne&v=4&sp=1
mechatronika,https://programy.p.lodz.pl/ectslabel-web/kierunekSiatkaV4.jsp?l=pl&w=mechatronika&pkId=1679&p=6896&stopien=studia%20pierwszego%20stopnia&tryb=studia%20stacjonarne&v=4
systemy sterowania inteligentnymi budynkami,https://programy.p.lodz.pl/ectslabel-web/kierunekSiatkaV4.jsp?l=pl&w=systemy%20sterowania%20inteligentnymi%20budynkami&pkId=1682&p=6899&stopien=studia%20pierwszego%20stopnia&tryb=studia%20stacjonarne&v=4
systemy sterowania inteligentnymi budynkami,https://programy.p.lodz.pl/ectslabel-web/kierunekSiatkaV4.jsp?l=pl&w=systemy%20sterowania%20inteligentnymi%20budynkami&pkId=1682&p=7620&stopien=studia%20pierwszego%20stopnia&tryb=studia%20stacjonarne&v=4
